code,description,status,superseded_by
21041000,Soups and broths and preparations therefor,current,
03044500,Swordfish (Xiphias gladius),current,
03044100,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",current,
03044600,Toothfish (Dissostichus spp.),current,
03044800,Rays and skates (Rajidae),current,
03044300,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",current,
09082200,Crushed or ground,current,
09082100,Neither crushed nor ground,current,
09101100,Neither crushed nor ground,current,
09101200,Crushed or ground,current,
19030000,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or similar forms",current,
28164000,"Oxides, hydroxides and peroxides, of strontium or barium",current,
28161000,Hydroxide and peroxide of magnesium,current,
28403000,Peroxoborates (perborates),current,
15151100,Crude oil,current,
28131000,Carbon disulphide,current,
28061000,Hydrogen chloride (hydrochloric acid),current,
28062000,Chlorosulphuric acid,current,
25087000,Chamotte or dinas earths,current,
25083000,Fireclay,current,
25081000,Bentonite,current,
25085000,"Andalusite, kyanite and sillimanite",current,
25086000,Mullite,current,
25084000,Other clays,current,
25232900,Other,current,
25232100,"White cement, whether or not artificially coloured",current,
26151000,Zirconium ores and concentrates,current,
26159000,Other,current,
03047200,Haddock (Melanogrammus aeglefinus),current,
03047300,Coalfish (Pollachius virens),current,
03047500,Alaska Pollock (Theragra chalcogramma),current,
19043000,Bulgur wheat,current,
03021900,Other,current,
03021300,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",current,
03021400,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),current,
03046100,Tilapias (Oreochromis spp.),current,
03046900,Other,current,
03046200,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",current,
03046300,Nile perch (Lates niloticus),current,
12030000,Copra,current,
12130000,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets",current,
28170000,Zinc oxide; zinc peroxide,current,
28230000,Titanium oxides,current,
28220000,Cobalt oxides and hydroxides; commercial cobalt oxides,current,
20057000,Olives,current,
20056000,Asparagus,current,
20058000,Sweetcorn (Zea mays var. saccharata),current,
20054000,Peas (Pisum sativum),current,
20051000,Homogenised vegetables,current,
07102200,"Beans (Vigna spp., Phaseolus spp.)",current,
07102100,Peas (Pisum sativum),current,
07102900,Other,current,
03049100,Swordfish (Xiphias gladius),current,
03049700,Rays and skates (Rajidae),current,
03049200,Toothfish (Dissostichus spp.),current,
27112900,Other,current,
27112100,Natural gas,current,
28042100,Argon,current,
02044100,Carcases and half-carcases,current,
08084000,Quinces,current,
15060000,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified",current,
15200000,"Glycerol, crude; glycerol waters and glycerol lyes",current,
28183000,Aluminium hydroxide,current,
28182000,"Aluminium oxide, other than artificial corundum",current,
28353100,Sodium triphosphate (sodium tripolyphosphate),current,
28353900,Other,current,
27149000,Other,current,
27141000,Bituminous or oil-shale and tar sands,current,
03078700,Other abalone (Haliotis spp.),current,
03078400,Frozen stromboid conchs (Strombus spp.),current,
03078200,"Live, fresh or chilled stromboid conchs (Strombus spp.)",current,
03078800,Other stromboid conchs (Strombus spp.),current,
03078300,Frozen abalone (Haliotis spp.),current,
03078100,"Live, fresh or chilled abalone (Haliotis spp.)",current,
25169000,Other monumental or building stone,current,
25162000,Sandstone,current,
21031000,Soya sauce,current,
21032000,Tomato ketchup and other tomato sauces,current,
28261200,Of aluminium,current,
28112200,Silicon dioxide,current,
28112100,Carbon dioxide,current,
07089000,Other leguminous vegetables,current,
07082000,"Beans (Vigna spp., Phaseolus spp.)",current,
07081000,Peas (Pisum sativum),current,
02013000,Boneless,current,
02011000,Carcases and half-carcases,current,
28153000,Peroxides of sodium or potassium,current,
28152000,Potassium hydroxide (caustic potash),current,
03043900,Other,current,
03043300,Nile perch (Lates niloticus),current,
03043100,Tilapias (Oreochromis spp.),current,
03043200,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",current,
10019900,Other,current,
25202000,Plasters,current,
25201000,Gypsum; anhydrite,current,
28432100,Silver nitrate,current,
28432900,Other,current,
10079000,Other,current,
26203000,Containing mainly copper,current,
26204000,Containing mainly aluminium,current,
26206000,"Containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",current,
07133400,Bambara beans (Vigna subterranea or Voandzeia subterranea),current,
07133100,Beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.) Wilczek,current,
07133900,Other,current,
07133500,Cow peas (Vigna unguiculata),current,
07133200,Small red (Adzuki) beans (Phaseolus or Vigna angularis),current,
08026200,Shelled,current,
08026100,In shell,current,
07123100,Mushrooms of the genus Agaricus,current,
07123300,Jelly fungi (Tremella spp.),current,
07123900,Other,current,
07123200,Wood ears (Auricularia spp.),current,
07123400,Shiitake (Lentinus edodes),current,
03029200,Shark fins,current,
03029900,Other,current,
03029100,"Livers, roes and milt",current,
04072100,Of fowls of the species Gallus domesticus,current,
05079000,Other,current,
05071000,Ivory; ivory powder and waste,current,
24039100,Homogenised or reconstituted tobacco,current,
23066000,Of palm nuts or kernels,current,
23062000,Of linseed,current,
23065000,Of coconut or copra,current,
23063000,Of sunflower seeds,current,
23061000,Of cotton seeds,current,
12122100,Fit for human consumption,current,
12122900,Other,current,
25181000,"Dolomite, not calcined or sintered",current,
25182000,Calcined or sintered dolomite,current,
10049000,Other,current,
10041000,Seed,current,
09083200,Crushed or ground,current,
09083100,Neither crushed nor ground,current,
03077100,"Live, fresh or chilled",current,
03077900,Other,current,
26202900,Other,current,
26202100,Leaded gasoline sludges and leaded anti-knock compound sludges,current,
25292200,Containing by weight more than 97 % of calcium fluoride,current,
25292100,Containing by weight 97 % or less of calcium fluoride,current,
02062100,Tongues,current,
02062200,Livers,current,
21011100,"Extracts, essences and concentrates",current,
28341000,Nitrites,current,
28271000,Ammonium chloride,current,
28272000,Calcium chloride,current,
28276000,Iodides and iodide oxides,current,
03081200,Frozen,current,
03081100,"Live, fresh or chilled",current,
03081900,Other,current,
08052900,Other,current,
08052200,Clementines,current,
06024000,"Roses, grafted or not",current,
06023000,"Rhododendrons and azaleas, grafted or not",current,
26011100,Non-agglomerated,current,
26011200,Agglomerated,current,
20092100,Of a Brix value not exceeding 20,current,
07061000,Carrots and turnips,current,
22029100,Non-alcoholic beer,current,
22021000,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured",current,
25293000,Leucite; nepheline and nepheline syenite,current,
25291000,Feldspar,current,
04090000,Natural honey,current,
24041100,Containing tobacco or reconstituted tobacco,current,
24041200,"Other, containing nicotine",current,
20059100,Bamboo shoots,current,
28311000,Of sodium,current,
28319000,Other,current,
28417000,Molybdates,current,
28415000,Other chromates and dichromates; peroxochromates,current,
28418000,Tungstates (wolframates),current,
28413000,Sodium dichromate,current,
09092200,Crushed or ground,current,
09092100,Neither crushed nor ground,current,
17031000,Cane molasses,current,
17039000,Other,current,
27131100,Not calcined,current,
27131200,Calcined,current,
25051000,Silica sands and quartz sands,current,
25059000,Other,current,
51053100,Of Kashmir (cashmere) goats,current,
44013900,Other,current,
07042000,Brussels sprouts,current,
57022000,Floor coverings of coconut fibres (coir),current,
90272000,Chromatographs and electrophoresis instruments,current,
29182200,"o-Acetylsalicylic acid, its salts and esters",current,
71041000,Piezoelectric quartz,current,
83024200,"Other, suitable for furniture",current,
85395100,Light-emitting diode (LED) modules,current,
70023100,Of fused quartz or other fused silica,current,
52062300,"Measuring less than 232,56 decitex but not less than 192,31 decitex (exceeding 43 metric number but not exceeding 52 metric number)",current,
85351000,Fuses,current,
44123900,"Other, with both outer plies of coniferous wood",current,
81029400,"Unwrought molybdenum, including bars and rods obtained simply by sintering",current,
37019100,For colour photography (polychrome),current,
54024800,"Other, of polypropylene",current,
55142200,"3-thread or 4-thread twill, including cross twill, of polyester staple fibres",current,
84221900,Other,current,
52053300,"Measuring per single yarn less than 232,56 decitex but not less than 192,31 decitex (exceeding 43 metric number but not exceeding 52 metric number per single yarn)",current,
84149000,Parts,current,
84147000,Gas-tight biological safety cabinets,current,
68138900,Other,current,
52054300,"Measuring per single yarn less than 232,56 decitex but not less than 192,31 decitex (exceeding 43 metric number but not exceeding 52 metric number per single yarn)",current,
84603100,Numerically controlled,current,
07134000,Lentils,current,
31025000,Sodium nitrate,current,
53092900,Other,current,
72122000,Electrolytically plated or coated with zinc,current,
84841000,Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal,current,
20089100,Palm hearts,current,
84678100,Chainsaws,current,
52115200,"3-thread or 4-thread twill, including cross twill",current,
94029000,Other,current,
84451900,Other,current,
44031100,Coniferous,current,
49052000,In book form,current,
85401200,Monochrome,current,
62123000,Corselettes,current,
84158200,"Other, incorporating a refrigerating unit",current,
30049000,Other,current,
44189200,Cellular wood panels,current,
25191000,Natural magnesium carbonate (magnesite),current,
29333400,Other fentanyls and their derivatives,current,
83091000,Crown corks,current,
32149000,Other,current,
83081000,"Hooks, eyes and eyelets",current,
96031000,"Brooms and brushes, consisting of twigs or other vegetable materials bound together, with or without handles",current,
29039300,Pentachlorobenzene (ISO),current,
38061000,Rosin and resin acids,current,
29151200,Salts of formic acid,current,
58023000,Tufted textile fabrics,current,
88052100,Air combat simulators and parts thereof,current,
58013100,Uncut weft pile fabrics,current,
74102200,Of copper alloys,current,
83082000,Tubular or bifurcated rivets,current,
